,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
3148,Sterling Brown,Dallas Mavericks,6:16,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,2,6:16,0.0,0.0,0.0,0.0,0.0,18.7,8.9,22.5,0.0,0.0,0.0,0.0,253.0,116.0,20220215
3149,Frank Ntilikina,Dallas Mavericks,3:31,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,0,3,6,3:31,0.75,0.75,1.0,0.0,0.0,0.0,0.0,67.1,0.0,0.0,0.0,27.7,163.0,125.0,20220215
3150,Trey Burke,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220215
3151,Boban Marjanović,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220215
3152,Team Totals,Dallas Mavericks,240,34,76,0.447,18,41,0.439,21,33,0.636,12,26,38,27,5,7,8,26,107,0,240,0.591,0.566,0.539,0.434,26.7,63.4,44.2,79.4,5.8,12.3,8.1,100.0,123.8,114.6,20220215
3153,Luka Dončić,Dallas Mavericks,38:02,17,35,0.486,7,14,0.5,8,12,0.667,1,14,15,8,0,1,5,3,49,21,38:02,0.608,0.586,0.4,0.343,3.3,36.8,22.0,44.8,0.0,2.0,11.0,56.6,121.0,117.0,20220217
3154,Dorian Finney-Smith,Dallas Mavericks,37:26,5,6,0.833,4,5,0.8,0,0,0.0,0,3,3,0,3,0,0,3,14,19,37:26,1.167,1.167,0.833,0.0,0.0,8.0,4.5,0.0,4.1,0.0,0.0,7.6,227.0,121.0,20220217
3155,Jalen Brunson,Dallas Mavericks,37:17,8,13,0.615,3,4,0.75,4,4,1.0,0,1,1,6,0,0,2,3,23,-9,37:17,0.779,0.731,0.308,0.308,0.0,2.7,1.5,22.9,0.0,0.0,11.9,21.4,150.0,131.0,20220217
3156,Josh Green,Dallas Mavericks,25:13,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,2,0,1,0,2,0,-5,25:13,0.0,0.0,1.0,0.0,0.0,11.9,6.6,8.7,0.0,3.0,0.0,3.8,68.0,126.0,20220217
3157,Dwight Powell,Dallas Mavericks,24:14,3,4,0.75,0,0,0.0,2,3,0.667,3,2,5,0,0,1,0,3,8,-11,24:14,0.752,0.75,0.0,0.75,15.6,8.3,11.5,0.0,0.0,3.1,0.0,10.4,173.0,127.0,20220217
3158,Spencer Dinwiddie,Dallas Mavericks,30:30,3,5,0.6,1,3,0.333,1,2,0.5,1,3,4,1,1,0,0,2,8,9,30:30,0.68,0.7,0.6,0.4,4.1,9.8,7.3,4.0,1.7,0.0,0.0,9.2,151.0,125.0,20220217
3159,Maxi Kleber,Dallas Mavericks,25:32,7,10,0.7,3,5,0.6,3,4,0.75,2,2,4,0,1,1,1,3,20,11,25:32,0.85,0.85,0.5,0.4,9.9,7.8,8.7,0.0,2.0,2.9,7.8,23.7,159.0,123.0,20220217
