,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
3412,Danny Green,Philadelphia 76ers,38:33,6,9,0.667,6,7,0.857,0,1,0.0,3,2,5,4,1,1,2,3,18,13,38:33,0.953,1.0,0.778,0.111,10.7,5.8,8.0,16.9,1.3,2.1,17.5,14.0,154.0,129.0,20220407
3413,Tobias Harris,Philadelphia 76ers,38:01,3,8,0.375,2,5,0.4,0,0,0.0,0,7,7,1,2,0,3,2,8,5,38:01,0.5,0.5,0.625,0.0,0.0,20.6,11.3,3.8,2.7,0.0,27.3,13.6,71.0,123.0,20220407
3414,Joel Embiid,Philadelphia 76ers,37:20,10,22,0.455,0,4,0.0,10,12,0.833,0,10,10,2,1,1,5,2,30,8,37:20,0.55,0.455,0.182,0.545,0.0,29.9,16.5,10.7,1.4,2.2,15.5,40.7,97.0,121.0,20220407
3415,Tyrese Maxey,Philadelphia 76ers,36:43,7,11,0.636,4,5,0.8,4,5,0.8,0,3,3,4,2,1,2,2,22,-3,36:43,0.833,0.818,0.455,0.455,0.0,9.1,5.0,18.8,2.8,2.3,13.2,19.5,144.0,124.0,20220407
3416,Georges Niang,Philadelphia 76ers,18:58,3,7,0.429,3,7,0.429,0,0,0.0,0,1,1,0,0,0,0,2,9,-20,18:58,0.643,0.643,1.0,0.0,0.0,5.9,3.2,0.0,0.0,0.0,0.0,17.4,117.0,133.0,20220407
3417,Shake Milton,Philadelphia 76ers,17:59,3,4,0.75,3,4,0.75,0,0,0.0,0,0,0,0,0,0,0,1,9,-17,17:59,1.125,1.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,193.0,135.0,20220407
3418,Paul Reed,Philadelphia 76ers,10:44,2,2,1.0,0,0,0.0,1,1,1.0,3,4,7,0,1,0,1,3,5,-13,10:44,1.025,1.0,0.0,0.5,38.3,41.6,40.1,0.0,4.7,0.0,29.1,15.1,163.0,111.0,20220407
3419,Furkan Korkmaz,Philadelphia 76ers,2:15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-5,2:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,20220407
3420,DeAndre Jordan,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220407
3421,Charlie Brown Jr.,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220407
3422,Isaiah Joe,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220407
3423,Paul Millsap,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220407
3424,Team Totals,Philadelphia 76ers,240,37,75,0.493,19,36,0.528,21,25,0.84,6,31,37,26,7,3,16,18,114,0,240,0.663,0.62,0.48,0.333,17.1,72.1,47.4,70.3,7.4,5.2,15.7,100.0,121.0,126.3,20220407
3425,James Harden,Philadelphia 76ers,38:40,7,16,0.438,2,9,0.222,6,6,1.0,0,4,4,14,1,0,5,2,22,12,38:40,0.59,0.5,0.563,0.375,0.0,14.2,6.8,42.1,1.2,0.0,21.2,25.3,123.0,124.0,20220409
3426,Joel Embiid,Philadelphia 76ers,36:58,14,17,0.824,2,2,1.0,11,15,0.733,5,15,20,4,2,1,5,4,41,11,36:58,0.869,0.882,0.118,0.882,17.1,55.6,35.6,16.3,2.6,2.4,17.5,32.0,145.0,113.0,20220409
3427,Tobias Harris,Philadelphia 76ers,31:48,8,13,0.615,1,3,0.333,1,1,1.0,1,3,4,0,0,1,1,4,18,13,31:48,0.67,0.654,0.231,0.077,4.0,12.9,8.3,0.0,0.0,2.7,6.9,18.8,128.0,125.0,20220409
3428,Tyrese Maxey,Philadelphia 76ers,30:44,7,15,0.467,2,6,0.333,2,2,1.0,0,1,1,5,1,0,0,2,18,11,30:44,0.567,0.533,0.4,0.133,0.0,4.5,2.1,20.0,1.6,0.0,0.0,21.4,139.0,125.0,20220409
3429,Danny Green,Philadelphia 76ers,28:59,5,11,0.455,4,10,0.4,1,1,1.0,2,2,4,3,3,1,1,3,15,17,28:59,0.656,0.636,0.909,0.091,8.7,9.5,9.1,11.9,5.0,3.0,8.0,17.8,140.0,114.0,20220409
3430,Matisse Thybulle,Philadelphia 76ers,24:15,1,2,0.5,0,1,0.0,0,0,0.0,2,0,2,2,2,0,1,0,2,2,24:15,0.5,0.5,0.5,0.0,10.4,0.0,5.4,8.2,3.9,0.0,33.3,5.1,119.0,120.0,20220409
3431,Shake Milton,Philadelphia 76ers,22:28,2,8,0.25,0,1,0.0,0,0,0.0,1,0,1,8,1,0,1,3,4,5,22:28,0.25,0.25,0.125,0.0,5.6,0.0,2.9,37.4,2.1,0.0,11.1,16.6,106.0,124.0,20220409
3432,Paul Reed,Philadelphia 76ers,11:02,4,4,1.0,0,0,0.0,0,2,0.0,3,2,5,1,4,0,0,5,8,2,11:02,0.82,1.0,0.0,0.5,34.3,24.9,29.8,13.3,17.4,0.0,0.0,18.3,167.0,86.0,20220409
3433,Isaiah Joe,Philadelphia 76ers,9:00,2,3,0.667,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,1,5,-6,9:00,0.833,0.833,0.667,0.0,0.0,15.2,7.3,0.0,0.0,0.0,0.0,13.8,163.0,126.0,20220409
3434,Furkan Korkmaz,Philadelphia 76ers,6:06,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,6:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,129.0,20220409
3435,Charles Bassey,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220409
3436,DeAndre Jordan,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220409
3437,Paul Millsap,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220409
3438,Georges Niang,Philadelphia 76ers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220409
3439,Team Totals,Philadelphia 76ers,240,50,90,0.556,12,34,0.353,21,27,0.778,14,28,42,37,14,3,14,24,133,0,240,0.653,0.622,0.378,0.3,36.8,80.0,57.5,74.0,14.0,5.5,12.1,100.0,132.7,119.7,20220409
